Year,Geography,Gender ,Age ,Value
2020,Selwyn,Women+,65 years and over,2.1
2015,Selwyn,Women+,,8.9
2015,Selwyn,Women+,0 to 17 years,11.0
2015,Selwyn,Women+,18 to 24 years,8.5
2015,Selwyn,Women+,25 to 54 years,8.9
2015,Selwyn,Women+,55 to 64 years,11.2
2015,Selwyn,Women+,65 years and over,5.1
2020,Selwyn,Women+,,12.1
2020,Selwyn,Women+,0 to 17 years,0.0
2020,Selwyn,Women+,18 to 24 years,0.0
2020,Selwyn,Women+,25 to 54 years,17.4
2020,Selwyn,Women+,55 to 64 years,22.9
2020,Selwyn,Women+,65 years and over,5.6
2015,Selwyn,Women+,,29.4
2015,Selwyn,Women+,0 to 17 years,0.0
2015,Selwyn,Women+,18 to 24 years,62.5
2015,Selwyn,Women+,25 to 54 years,45.9
2015,Selwyn,Women+,55 to 64 years,42.2
2015,Selwyn,Women+,65 years and over,14.2
2020,Curve Lake First Nation 35,,,0.0
2020,Curve Lake First Nation 35,,0 to 17 years,0.0
2020,Curve Lake First Nation 35,,18 to 24 years,0.0
2020,Curve Lake First Nation 35,,25 to 54 years,0.0
2020,Curve Lake First Nation 35,,55 to 64 years,0.0
2020,Curve Lake First Nation 35,,65 years and over,0.0
2015,Curve Lake First Nation 35,,,0.0
2015,Curve Lake First Nation 35,,0 to 17 years,0.0
2015,Curve Lake First Nation 35,,18 to 24 years,0.0
2015,Curve Lake First Nation 35,,25 to 54 years,0.0
2015,Curve Lake First Nation 35,,55 to 64 years,0.0
2015,Curve Lake First Nation 35,,65 years and over,0.0
2020,Curve Lake First Nation 35,,,0.0
2020,Curve Lake First Nation 35,,0 to 17 years,0.0
2020,Curve Lake First Nation 35,,18 to 24 years,0.0
2020,Curve Lake First Nation 35,,25 to 54 years,0.0
2020,Curve Lake First Nation 35,,55 to 64 years,0.0
2020,Curve Lake First Nation 35,,65 years and over,0.0
2015,Curve Lake First Nation 35,,,0.0
2015,Curve Lake First Nation 35,,0 to 17 years,0.0
2015,Curve Lake First Nation 35,,18 to 24 years,0.0
2015,Curve Lake First Nation 35,,25 to 54 years,0.0
2015,Curve Lake First Nation 35,,55 to 64 years,0.0
2015,Curve Lake First Nation 35,,65 years and over,0.0
2020,Curve Lake First Nation 35,Men+,,0.0
2020,Curve Lake First Nation 35,Men+,0 to 17 years,0.0
2020,Curve Lake First Nation 35,Men+,18 to 24 years,0.0
2020,Curve Lake First Nation 35,Men+,25 to 54 years,0.0
2020,Curve Lake First Nation 35,Men+,55 to 64 years,0.0
2020,Curve Lake First Nation 35,Men+,65 years and over,0.0
2015,Curve Lake First Nation 35,Men+,,0.0
2015,Curve Lake First Nation 35,Men+,0 to 17 years,0.0
2015,Curve Lake First Nation 35,Men+,18 to 24 years,0.0
2015,Curve Lake First Nation 35,Men+,25 to 54 years,0.0
2015,Curve Lake First Nation 35,Men+,55 to 64 years,0.0
2015,Curve Lake First Nation 35,Men+,65 years and over,0.0
2020,Curve Lake First Nation 35,Men+,,0.0
2020,Curve Lake First Nation 35,Men+,0 to 17 years,0.0
2020,Curve Lake First Nation 35,Men+,18 to 24 years,0.0
2020,Curve Lake First Nation 35,Men+,25 to 54 years,0.0
2020,Curve Lake First Nation 35,Men+,55 to 64 years,0.0
2020,Curve Lake First Nation 35,Men+,65 years and over,0.0
2015,Curve Lake First Nation 35,Men+,,0.0
2015,Curve Lake First Nation 35,Men+,0 to 17 years,0.0
2015,Curve Lake First Nation 35,Men+,18 to 24 years,0.0
2015,Curve Lake First Nation 35,Men+,25 to 54 years,0.0
2015,Curve Lake First Nation 35,Men+,55 to 64 years,0.0
2015,Curve Lake First Nation 35,Men+,65 years and over,0.0
2020,Curve Lake First Nation 35,Women+,,0.0
2020,Curve Lake First Nation 35,Women+,0 to 17 years,0.0
2020,Curve Lake First Nation 35,Women+,18 to 24 years,0.0
2020,Curve Lake First Nation 35,Women+,25 to 54 years,0.0
2020,Curve Lake First Nation 35,Women+,55 to 64 years,0.0
2020,Curve Lake First Nation 35,Women+,65 years and over,0.0
2015,Curve Lake First Nation 35,Women+,,0.0
2015,Curve Lake First Nation 35,Women+,0 to 17 years,0.0
2015,Curve Lake First Nation 35,Women+,18 to 24 years,0.0
2015,Curve Lake First Nation 35,Women+,25 to 54 years,0.0
2015,Curve Lake First Nation 35,Women+,55 to 64 years,0.0
2015,Curve Lake First Nation 35,Women+,65 years and over,0.0
2020,Curve Lake First Nation 35,Women+,,0.0
2020,Curve Lake First Nation 35,Women+,0 to 17 years,0.0
2020,Curve Lake First Nation 35,Women+,18 to 24 years,0.0
2020,Curve Lake First Nation 35,Women+,25 to 54 years,0.0
2020,Curve Lake First Nation 35,Women+,55 to 64 years,0.0
2020,Curve Lake First Nation 35,Women+,65 years and over,0.0
2015,Curve Lake First Nation 35,Women+,,0.0
2015,Curve Lake First Nation 35,Women+,0 to 17 years,0.0
2015,Curve Lake First Nation 35,Women+,18 to 24 years,0.0
2015,Curve Lake First Nation 35,Women+,25 to 54 years,0.0
2015,Curve Lake First Nation 35,Women+,55 to 64 years,0.0
2015,Curve Lake First Nation 35,Women+,65 years and over,0.0
2020,Douro-Dummer,,,3.0
2020,Douro-Dummer,,0 to 17 years,0.0
2020,Douro-Dummer,,18 to 24 years,0.0
2020,Douro-Dummer,,25 to 54 years,3.2
2020,Douro-Dummer,,55 to 64 years,6.4
2020,Douro-Dummer,,65 years and over,2.3
2015,Douro-Dummer,,,6.8
2015,Douro-Dummer,,0 to 17 years,7.5
2015,Douro-Dummer,,18 to 24 years,5.4
2015,Douro-Dummer,,25 to 54 years,7.5
2015,Douro-Dummer,,55 to 64 years,7.8
2015,Douro-Dummer,,65 years and over,4.8
2020,Douro-Dummer,,,15.8
2020,Douro-Dummer,,0 to 17 years,0.0
2020,Douro-Dummer,,18 to 24 years,0.0
2020,Douro-Dummer,,25 to 54 years,25.0
2020,Douro-Dummer,,55 to 64 years,27.5
2020,Douro-Dummer,,65 years and over,0.0
2015,Douro-Dummer,,,25.0
2015,Douro-Dummer,,0 to 17 years,0.0
2015,Douro-Dummer,,18 to 24 years,0.0
2015,Douro-Dummer,,25 to 54 years,35.9
2015,Douro-Dummer,,55 to 64 years,0.0
2015,Douro-Dummer,,65 years and over,18.0
2020,Douro-Dummer,Men+,,4.1
2020,Douro-Dummer,Men+,0 to 17 years,0.0
2020,Douro-Dummer,Men+,18 to 24 years,0.0
2020,Douro-Dummer,Men+,25 to 54 years,4.1
2020,Douro-Dummer,Men+,55 to 64 years,9.8
2020,Douro-Dummer,Men+,65 years and over,2.1
2015,Douro-Dummer,Men+,,6.9
2015,Douro-Dummer,Men+,0 to 17 years,6.5
2015,Douro-Dummer,Men+,18 to 24 years,0.0
2015,Douro-Dummer,Men+,25 to 54 years,8.4
2015,Douro-Dummer,Men+,55 to 64 years,9.6
2015,Douro-Dummer,Men+,65 years and over,4.3
2020,Douro-Dummer,Men+,,22.4
2020,Douro-Dummer,Men+,0 to 17 years,0.0
2020,Douro-Dummer,Men+,18 to 24 years,0.0
2020,Douro-Dummer,Men+,25 to 54 years,26.1
2020,Douro-Dummer,Men+,55 to 64 years,32.0
2020,Douro-Dummer,Men+,65 years and over,0.0
2015,Douro-Dummer,Men+,,26.6
2015,Douro-Dummer,Men+,0 to 17 years,0.0
2015,Douro-Dummer,Men+,18 to 24 years,0.0
2015,Douro-Dummer,Men+,25 to 54 years,40.0
2015,Douro-Dummer,Men+,55 to 64 years,0.0
2015,Douro-Dummer,Men+,65 years and over,21.1
2020,Douro-Dummer,Women+,,2.1
2020,Douro-Dummer,Women+,0 to 17 years,0.0
2020,Douro-Dummer,Women+,18 to 24 years,0.0
2020,Douro-Dummer,Women+,25 to 54 years,2.4
2020,Douro-Dummer,Women+,55 to 64 years,3.4
2020,Douro-Dummer,Women+,65 years and over,2.5
2015,Douro-Dummer,Women+,,6.8
2015,Douro-Dummer,Women+,0 to 17 years,7.8
2015,Douro-Dummer,Women+,18 to 24 years,0.0
2015,Douro-Dummer,Women+,25 to 54 years,6.2
2015,Douro-Dummer,Women+,55 to 64 years,6.2
2015,Douro-Dummer,Women+,65 years and over,6.2
2020,Douro-Dummer,Women+,,10.7
2020,Douro-Dummer,Women+,0 to 17 years,0.0
2020,Douro-Dummer,Women+,18 to 24 years,0.0
2020,Douro-Dummer,Women+,25 to 54 years,0.0
2020,Douro-Dummer,Women+,55 to 64 years,0.0
2020,Douro-Dummer,Women+,65 years and over,0.0
2015,Douro-Dummer,Women+,,21.2
2015,Douro-Dummer,Women+,0 to 17 years,0.0
2015,Douro-Dummer,Women+,18 to 24 years,0.0
2015,Douro-Dummer,Women+,25 to 54 years,0.0
2015,Douro-Dummer,Women+,55 to 64 years,0.0
2015,Douro-Dummer,Women+,65 years and over,16.1
2020,Havelock-Belmont-Methuen,,,7.3
2020,Havelock-Belmont-Methuen,,0 to 17 years,7.1
2020,Havelock-Belmont-Methuen,,18 to 24 years,0.0
2020,Havelock-Belmont-Methuen,,25 to 54 years,5.8
2020,Havelock-Belmont-Methuen,,55 to 64 years,18.6
2020,Havelock-Belmont-Methuen,,65 years and over,2.2
2015,Havelock-Belmont-Methuen,,,16.2
2015,Havelock-Belmont-Methuen,,0 to 17 years,19.0
2015,Havelock-Belmont-Methuen,,18 to 24 years,18.2
2015,Havelock-Belmont-Methuen,,25 to 54 years,18.4
2015,Havelock-Belmont-Methuen,,55 to 64 years,24.7
2015,Havelock-Belmont-Methuen,,65 years and over,5.7
2020,Havelock-Belmont-Methuen,,,17.2
2020,Havelock-Belmont-Methuen,,0 to 17 years,0.0
2020,Havelock-Belmont-Methuen,,18 to 24 years,0.0
2020,Havelock-Belmont-Methuen,,25 to 54 years,21.6
2020,Havelock-Belmont-Methuen,,55 to 64 years,37.8
2020,Havelock-Belmont-Methuen,,65 years and over,0.0
2015,Havelock-Belmont-Methuen,,,31.6
2015,Havelock-Belmont-Methuen,,0 to 17 years,0.0
2015,Havelock-Belmont-Methuen,,18 to 24 years,0.0
2015,Havelock-Belmont-Methuen,,25 to 54 years,46.9
2015,Havelock-Belmont-Methuen,,55 to 64 years,40.0
2015,Havelock-Belmont-Methuen,,65 years and over,16.4
2020,Havelock-Belmont-Methuen,Men+,,8.2
2020,Havelock-Belmont-Methuen,Men+,0 to 17 years,9.4
2020,Havelock-Belmont-Methuen,Men+,18 to 24 years,0.0
2020,Havelock-Belmont-Methuen,Men+,25 to 54 years,6.9
2020,Havelock-Belmont-Methuen,Men+,55 to 64 years,18.9
2020,Havelock-Belmont-Methuen,Men+,65 years and over,2.4
2015,Havelock-Belmont-Methuen,Men+,,16.0
2015,Havelock-Belmont-Methuen,Men+,0 to 17 years,18.8
2015,Havelock-Belmont-Methuen,Men+,18 to 24 years,20.0
2015,Havelock-Belmont-Methuen,Men+,25 to 54 years,17.4
2015,Havelock-Belmont-Methuen,Men+,55 to 64 years,25.3
2015,Havelock-Belmont-Methuen,Men+,65 years and over,5.3
2020,Havelock-Belmont-Methuen,Men+,,17.3
2020,Havelock-Belmont-Methuen,Men+,0 to 17 years,0.0
2020,Havelock-Belmont-Methuen,Men+,18 to 24 years,0.0
2020,Havelock-Belmont-Methuen,Men+,25 to 54 years,25.0
2020,Havelock-Belmont-Methuen,Men+,55 to 64 years,30.0
2020,Havelock-Belmont-Methuen,Men+,65 years and over,0.0
2015,Havelock-Belmont-Methuen,Men+,,27.4
2015,Havelock-Belmont-Methuen,Men+,0 to 17 years,0.0
2015,Havelock-Belmont-Methuen,Men+,18 to 24 years,0.0
2015,Havelock-Belmont-Methuen,Men+,25 to 54 years,43.5
2015,Havelock-Belmont-Methuen,Men+,55 to 64 years,35.0
2015,Havelock-Belmont-Methuen,Men+,65 years and over,0.0
2020,Havelock-Belmont-Methuen,Women+,,6.4
2020,Havelock-Belmont-Methuen,Women+,0 to 17 years,0.0
2020,Havelock-Belmont-Methuen,Women+,18 to 24 years,0.0
2020,Havelock-Belmont-Methuen,Women+,25 to 54 years,4.7
2020,Havelock-Belmont-Methuen,Women+,55 to 64 years,17.3
2020,Havelock-Belmont-Methuen,Women+,65 years and over,0.0
2015,Havelock-Belmont-Methuen,Women+,,16.5
2015,Havelock-Belmont-Methuen,Women+,0 to 17 years,17.9
2015,Havelock-Belmont-Methuen,Women+,18 to 24 years,20.8
2015,Havelock-Belmont-Methuen,Women+,25 to 54 years,18.5
2015,Havelock-Belmont-Methuen,Women+,55 to 64 years,24.2
2015,Havelock-Belmont-Methuen,Women+,65 years and over,7.0
2020,Havelock-Belmont-Methuen,Women+,,17.1
2020,Havelock-Belmont-Methuen,Women+,0 to 17 years,0.0
2020,Havelock-Belmont-Methuen,Women+,18 to 24 years,0.0
2020,Havelock-Belmont-Methuen,Women+,25 to 54 years,0.0
2020,Havelock-Belmont-Methuen,Women+,55 to 64 years,47.1
2020,Havelock-Belmont-Methuen,Women+,65 years and over,0.0
2015,Havelock-Belmont-Methuen,Women+,,37.7
2015,Havelock-Belmont-Methuen,Women+,0 to 17 years,0.0
2015,Havelock-Belmont-Methuen,Women+,18 to 24 years,0.0
2015,Havelock-Belmont-Methuen,Women+,25 to 54 years,50.0
2015,Havelock-Belmont-Methuen,Women+,55 to 64 years,46.7
2015,Havelock-Belmont-Methuen,Women+,65 years and over,21.9
2020,North Kawartha,,,6.0
2020,North Kawartha,,0 to 17 years,0.0
2020,North Kawartha,,18 to 24 years,0.0
2020,North Kawartha,,25 to 54 years,7.0
2020,North Kawartha,,55 to 64 years,10.5
2020,North Kawartha,,65 years and over,2.2
2015,North Kawartha,,,12.6
2015,North Kawartha,,0 to 17 years,16.0
2015,North Kawartha,,18 to 24 years,25.7
2015,North Kawartha,,25 to 54 years,13.9
2015,North Kawartha,,55 to 64 years,8.7
2015,North Kawartha,,65 years and over,9.8
2020,North Kawartha,,,20.6
2020,North Kawartha,,0 to 17 years,0.0
2020,North Kawartha,,18 to 24 years,0.0
2020,North Kawartha,,25 to 54 years,30.8
2020,North Kawartha,,55 to 64 years,40.0
2020,North Kawartha,,65 years and over,7.0
2015,North Kawartha,,,31.6
2015,North Kawartha,,0 to 17 years,0.0
2015,North Kawartha,,18 to 24 years,0.0
2015,North Kawartha,,25 to 54 years,35.3
2015,North Kawartha,,55 to 64 years,31.6
2015,North Kawartha,,65 years and over,28.6
2020,North Kawartha,Men+,,7.0
2020,North Kawartha,Men+,0 to 17 years,0.0
2020,North Kawartha,Men+,18 to 24 years,0.0
2020,North Kawartha,Men+,25 to 54 years,8.5
2020,North Kawartha,Men+,55 to 64 years,14.5
2020,North Kawartha,Men+,65 years and over,0.0
2015,North Kawartha,Men+,,11.1
2015,North Kawartha,Men+,0 to 17 years,13.2
2015,North Kawartha,Men+,18 to 24 years,0.0
2015,North Kawartha,Men+,25 to 54 years,12.7
2015,North Kawartha,Men+,55 to 64 years,10.7
2015,North Kawartha,Men+,65 years and over,7.5
2020,North Kawartha,Men+,,25.9
2020,North Kawartha,Men+,0 to 17 years,0.0
2020,North Kawartha,Men+,18 to 24 years,0.0
2020,North Kawartha,Men+,25 to 54 years,0.0
2020,North Kawartha,Men+,55 to 64 years,45.0
2020,North Kawartha,Men+,65 years and over,0.0
2015,North Kawartha,Men+,,27.9
2015,North Kawartha,Men+,0 to 17 years,0.0
2015,North Kawartha,Men+,18 to 24 years,0.0
2015,North Kawartha,Men+,25 to 54 years,25.0
2015,North Kawartha,Men+,55 to 64 years,28.6
2015,North Kawartha,Men+,65 years and over,25.0
2020,North Kawartha,Women+,,4.8
2020,North Kawartha,Women+,0 to 17 years,0.0
2020,North Kawartha,Women+,18 to 24 years,0.0
2020,North Kawartha,Women+,25 to 54 years,5.6
2020,North Kawartha,Women+,55 to 64 years,6.0
2020,North Kawartha,Women+,65 years and over,0.0
2015,North Kawartha,Women+,,14.2
2015,North Kawartha,Women+,0 to 17 years,18.9
2015,North Kawartha,Women+,18 to 24 years,30.0
2015,North Kawartha,Women+,25 to 54 years,15.3
2015,North Kawartha,Women+,55 to 64 years,5.0
2015,North Kawartha,Women+,65 years and over,12.5
2020,North Kawartha,Women+,,16.3
2020,North Kawartha,Women+,0 to 17 years,0.0
2020,North Kawartha,Women+,18 to 24 years,0.0
2020,North Kawartha,Women+,25 to 54 years,0.0
2020,North Kawartha,Women+,55 to 64 years,0.0
2020,North Kawartha,Women+,65 years and over,0.0
2015,North Kawartha,Women+,,36.4
2015,North Kawartha,Women+,0 to 17 years,0.0
2015,North Kawartha,Women+,18 to 24 years,0.0
2015,North Kawartha,Women+,25 to 54 years,0.0
2015,North Kawartha,Women+,55 to 64 years,0.0
2015,North Kawartha,Women+,65 years and over,31.6
2020,Trent Lakes,,,5.2
2020,Trent Lakes,,0 to 17 years,9.3
2020,Trent Lakes,,18 to 24 years,0.0
2020,Trent Lakes,,25 to 54 years,5.9
2020,Trent Lakes,,55 to 64 years,8.8
2020,Trent Lakes,,65 years and over,0.0
2015,Trent Lakes,,,9.6
2015,Trent Lakes,,0 to 17 years,16.0
2015,Trent Lakes,,18 to 24 years,12.5
2015,Trent Lakes,,25 to 54 years,13.4
2015,Trent Lakes,,55 to 64 years,9.3
2015,Trent Lakes,,65 years and over,3.1
2020,Trent Lakes,,,12.9
2020,Trent Lakes,,0 to 17 years,0.0
2020,Trent Lakes,,18 to 24 years,0.0
2020,Trent Lakes,,25 to 54 years,16.7
2020,Trent Lakes,,55 to 64 years,26.8
2020,Trent Lakes,,65 years and over,0.0
2015,Trent Lakes,,,25.6
2015,Trent Lakes,,0 to 17 years,0.0
2015,Trent Lakes,,18 to 24 years,0.0
2015,Trent Lakes,,25 to 54 years,45.2
2015,Trent Lakes,,55 to 64 years,27.8
2015,Trent Lakes,,65 years and over,11.1
2020,Trent Lakes,Men+,,5.7
2020,Trent Lakes,Men+,0 to 17 years,9.2
2020,Trent Lakes,Men+,18 to 24 years,0.0
2020,Trent Lakes,Men+,25 to 54 years,5.5
2020,Trent Lakes,Men+,55 to 64 years,11.3
2020,Trent Lakes,Men+,65 years and over,0.0
2015,Trent Lakes,Men+,,10.0
2015,Trent Lakes,Men+,0 to 17 years,13.8
2015,Trent Lakes,Men+,18 to 24 years,15.6
2015,Trent Lakes,Men+,25 to 54 years,14.2
2015,Trent Lakes,Men+,55 to 64 years,11.5
2015,Trent Lakes,Men+,65 years and over,3.4
2020,Trent Lakes,Men+,,16.0
2020,Trent Lakes,Men+,0 to 17 years,0.0
2020,Trent Lakes,Men+,18 to 24 years,0.0
2020,Trent Lakes,Men+,25 to 54 years,0.0
2020,Trent Lakes,Men+,55 to 64 years,35.3
2020,Trent Lakes,Men+,65 years and over,0.0
2015,Trent Lakes,Men+,,25.3
2015,Trent Lakes,Men+,0 to 17 years,0.0
2015,Trent Lakes,Men+,18 to 24 years,0.0
2015,Trent Lakes,Men+,25 to 54 years,47.6
2015,Trent Lakes,Men+,55 to 64 years,22.7
2015,Trent Lakes,Men+,65 years and over,10.0
2020,Trent Lakes,Women+,,4.5
2020,Trent Lakes,Women+,0 to 17 years,8.0
2020,Trent Lakes,Women+,18 to 24 years,0.0
2020,Trent Lakes,Women+,25 to 54 years,6.4
2020,Trent Lakes,Women+,55 to 64 years,6.2
2020,Trent Lakes,Women+,65 years and over,0.0
2015,Trent Lakes,Women+,,9.3
2015,Trent Lakes,Women+,0 to 17 years,20.0
2015,Trent Lakes,Women+,18 to 24 years,0.0
2015,Trent Lakes,Women+,25 to 54 years,12.7
2015,Trent Lakes,Women+,55 to 64 years,7.4
2015,Trent Lakes,Women+,65 years and over,3.4
2020,Trent Lakes,Women+,,10.5
2020,Trent Lakes,Women+,0 to 17 years,0.0
2020,Trent Lakes,Women+,18 to 24 years,0.0
2020,Trent Lakes,Women+,25 to 54 years,28.6
2020,Trent Lakes,Women+,55 to 64 years,17.4
2020,Trent Lakes,Women+,65 years and over,0.0
2015,Trent Lakes,Women+,,24.1
2015,Trent Lakes,Women+,0 to 17 years,0.0
2015,Trent Lakes,Women+,18 to 24 years,0.0
2015,Trent Lakes,Women+,25 to 54 years,55.6
2015,Trent Lakes,Women+,55 to 64 years,28.6
2015,Trent Lakes,Women+,65 years and over,12.5
