Year,Geography,Time leaving for work ,Age ,Gender ,Main mode of commuting ,Commuting duration,Value
2021,Otonabee-South Monaghan,Total - Time leaving for work,15 to 24 years,Total (all genders),Public transit,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,15 to 24 years,Total (all genders),Active transportation,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,15 to 24 years,Total (all genders),Other method,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,15 to 24 years,Men+,Total - Main mode of commuting,Average commuting duration (in minutes),24.3
2021,Otonabee-South Monaghan,Total - Time leaving for work,15 to 24 years,Men+,"Car, truck or van",Average commuting duration (in minutes),26
2021,Otonabee-South Monaghan,Total - Time leaving for work,15 to 24 years,Men+,Driver (only worker in vehicle),Average commuting duration (in minutes),27
2021,Otonabee-South Monaghan,Total - Time leaving for work,15 to 24 years,Men+,Passenger (only worker in vehicle),Average commuting duration (in minutes),14.8
2021,Otonabee-South Monaghan,Total - Time leaving for work,15 to 24 years,Men+,Sustainable transportation,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,15 to 24 years,Men+,Public transit,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,15 to 24 years,Men+,Active transportation,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,15 to 24 years,Men+,Other method,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,15 to 24 years,Women+,Total - Main mode of commuting,Average commuting duration (in minutes),19.4
2021,Otonabee-South Monaghan,Total - Time leaving for work,15 to 24 years,Women+,"Car, truck or van",Average commuting duration (in minutes),19.6
2021,Otonabee-South Monaghan,Total - Time leaving for work,15 to 24 years,Women+,Driver (only worker in vehicle),Average commuting duration (in minutes),20.8
2021,Otonabee-South Monaghan,Total - Time leaving for work,15 to 24 years,Women+,Passenger (only worker in vehicle),Average commuting duration (in minutes),13.6
2021,Otonabee-South Monaghan,Total - Time leaving for work,15 to 24 years,Women+,Sustainable transportation,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,15 to 24 years,Women+,Public transit,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,15 to 24 years,Women+,Active transportation,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,15 to 24 years,Women+,Other method,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Total (all genders),Total - Main mode of commuting,Average commuting duration (in minutes),27
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Total (all genders),"Car, truck or van",Average commuting duration (in minutes),27.7
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Total (all genders),Driver (only worker in vehicle),Average commuting duration (in minutes),26.8
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Total (all genders),Passenger (only worker in vehicle),Average commuting duration (in minutes),17
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Total (all genders),Sustainable transportation,Average commuting duration (in minutes),9
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Total (all genders),Public transit,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Total (all genders),Active transportation,Average commuting duration (in minutes),3.3
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Total (all genders),Other method,Average commuting duration (in minutes),18.5
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Men+,Total - Main mode of commuting,Average commuting duration (in minutes),30.5
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Men+,"Car, truck or van",Average commuting duration (in minutes),31.4
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Men+,Driver (only worker in vehicle),Average commuting duration (in minutes),30.4
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Men+,Passenger (only worker in vehicle),Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Men+,Sustainable transportation,Average commuting duration (in minutes),3.5
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Men+,Public transit,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Men+,Active transportation,Average commuting duration (in minutes),3.5
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Men+,Other method,Average commuting duration (in minutes),20
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Women+,Total - Main mode of commuting,Average commuting duration (in minutes),22.8
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Women+,"Car, truck or van",Average commuting duration (in minutes),23.1
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Women+,Driver (only worker in vehicle),Average commuting duration (in minutes),22.7
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Women+,Passenger (only worker in vehicle),Average commuting duration (in minutes),17
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Women+,Sustainable transportation,Average commuting duration (in minutes),15.2
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Women+,Public transit,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Women+,Active transportation,Average commuting duration (in minutes),3
2021,Otonabee-South Monaghan,Total - Time leaving for work,25 to 64 years,Women+,Other method,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Total (all genders),Total - Main mode of commuting,Average commuting duration (in minutes),26.4
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Total (all genders),"Car, truck or van",Average commuting duration (in minutes),29.4
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Total (all genders),Driver (only worker in vehicle),Average commuting duration (in minutes),30
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Total (all genders),Passenger (only worker in vehicle),Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Total (all genders),Sustainable transportation,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Total (all genders),Public transit,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Total (all genders),Active transportation,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Total (all genders),Other method,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Men+,Total - Main mode of commuting,Average commuting duration (in minutes),29.8
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Men+,"Car, truck or van",Average commuting duration (in minutes),31.2
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Men+,Driver (only worker in vehicle),Average commuting duration (in minutes),31.2
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Men+,Passenger (only worker in vehicle),Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Men+,Sustainable transportation,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Men+,Public transit,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Men+,Active transportation,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Men+,Other method,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Women+,Total - Main mode of commuting,Average commuting duration (in minutes),20.4
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Women+,"Car, truck or van",Average commuting duration (in minutes),25.6
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Women+,Driver (only worker in vehicle),Average commuting duration (in minutes),27
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Women+,Passenger (only worker in vehicle),Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Women+,Sustainable transportation,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Women+,Public transit,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Women+,Active transportation,Average commuting duration (in minutes),0
2021,Otonabee-South Monaghan,Total - Time leaving for work,65 years and over,Women+,Other method,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Total (all genders),Total - Main mode of commuting,Average commuting duration (in minutes),17.8
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Total (all genders),"Car, truck or van",Average commuting duration (in minutes),18.4
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Total (all genders),Driver (only worker in vehicle),Average commuting duration (in minutes),18.4
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Total (all genders),Passenger (only worker in vehicle),Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Total (all genders),Sustainable transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Total (all genders),Public transit,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Total (all genders),Active transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Total (all genders),Other method,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Men+,Total - Main mode of commuting,Average commuting duration (in minutes),20.8
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Men+,"Car, truck or van",Average commuting duration (in minutes),22
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Men+,Driver (only worker in vehicle),Average commuting duration (in minutes),22.4
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Men+,Passenger (only worker in vehicle),Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Men+,Sustainable transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Men+,Public transit,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Men+,Active transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Men+,Other method,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Women+,Total - Main mode of commuting,Average commuting duration (in minutes),14.6
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Women+,"Car, truck or van",Average commuting duration (in minutes),15
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Women+,Driver (only worker in vehicle),Average commuting duration (in minutes),14.6
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Women+,Passenger (only worker in vehicle),Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Women+,Sustainable transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Women+,Public transit,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Women+,Active transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,Total (all ages),Women+,Other method,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Total (all genders),Total - Main mode of commuting,Average commuting duration (in minutes),14
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Total (all genders),"Car, truck or van",Average commuting duration (in minutes),15
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Total (all genders),Driver (only worker in vehicle),Average commuting duration (in minutes),16
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Total (all genders),Passenger (only worker in vehicle),Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Total (all genders),Sustainable transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Total (all genders),Public transit,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Total (all genders),Active transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Total (all genders),Other method,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Men+,Total - Main mode of commuting,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Men+,"Car, truck or van",Average commuting duration (in minutes),16
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Men+,Driver (only worker in vehicle),Average commuting duration (in minutes),16
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Men+,Passenger (only worker in vehicle),Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Men+,Sustainable transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Men+,Public transit,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Men+,Active transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Men+,Other method,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Women+,Total - Main mode of commuting,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Women+,"Car, truck or van",Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Women+,Driver (only worker in vehicle),Average commuting duration (in minutes),14
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Women+,Passenger (only worker in vehicle),Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Women+,Sustainable transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Women+,Public transit,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Women+,Active transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,15 to 24 years,Women+,Other method,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Total (all genders),Total - Main mode of commuting,Average commuting duration (in minutes),19
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Total (all genders),"Car, truck or van",Average commuting duration (in minutes),19.8
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Total (all genders),Driver (only worker in vehicle),Average commuting duration (in minutes),19.6
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Total (all genders),Passenger (only worker in vehicle),Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Total (all genders),Sustainable transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Total (all genders),Public transit,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Total (all genders),Active transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Total (all genders),Other method,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Men+,Total - Main mode of commuting,Average commuting duration (in minutes),22.4
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Men+,"Car, truck or van",Average commuting duration (in minutes),23.2
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Men+,Driver (only worker in vehicle),Average commuting duration (in minutes),23.6
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Men+,Passenger (only worker in vehicle),Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Men+,Sustainable transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Men+,Public transit,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Men+,Active transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Men+,Other method,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Women+,Total - Main mode of commuting,Average commuting duration (in minutes),15.6
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Women+,"Car, truck or van",Average commuting duration (in minutes),16
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Women+,Driver (only worker in vehicle),Average commuting duration (in minutes),15.6
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Women+,Passenger (only worker in vehicle),Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Women+,Sustainable transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Women+,Public transit,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Women+,Active transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,25 to 64 years,Women+,Other method,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Total (all genders),Total - Main mode of commuting,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Total (all genders),"Car, truck or van",Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Total (all genders),Driver (only worker in vehicle),Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Total (all genders),Passenger (only worker in vehicle),Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Total (all genders),Sustainable transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Total (all genders),Public transit,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Total (all genders),Active transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Total (all genders),Other method,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Men+,Total - Main mode of commuting,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Men+,"Car, truck or van",Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Men+,Driver (only worker in vehicle),Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Men+,Passenger (only worker in vehicle),Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Men+,Sustainable transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Men+,Public transit,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Men+,Active transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Men+,Other method,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Women+,Total - Main mode of commuting,Average commuting duration (in minutes),6
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Women+,"Car, truck or van",Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Women+,Driver (only worker in vehicle),Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Women+,Passenger (only worker in vehicle),Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Women+,Sustainable transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Women+,Public transit,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Women+,Active transportation,Average commuting duration (in minutes),0
2021,Hiawatha First Nation,Total - Time leaving for work,65 years and over,Women+,Other method,Average commuting duration (in minutes),0
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Total (all genders),Total - Main mode of commuting,Average commuting duration (in minutes),28.8
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Total (all genders),"Car, truck or van",Average commuting duration (in minutes),29.8
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Total (all genders),Driver (only worker in vehicle),Average commuting duration (in minutes),30.2
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Total (all genders),Passenger (only worker in vehicle),Average commuting duration (in minutes),14
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Total (all genders),Sustainable transportation,Average commuting duration (in minutes),8.3
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Total (all genders),Public transit,Average commuting duration (in minutes),0
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Total (all genders),Active transportation,Average commuting duration (in minutes),7.1
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Total (all genders),Other method,Average commuting duration (in minutes),13.6
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Men+,Total - Main mode of commuting,Average commuting duration (in minutes),34.3
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Men+,"Car, truck or van",Average commuting duration (in minutes),35
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Men+,Driver (only worker in vehicle),Average commuting duration (in minutes),35.6
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Men+,Passenger (only worker in vehicle),Average commuting duration (in minutes),13.2
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Men+,Sustainable transportation,Average commuting duration (in minutes),9
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Men+,Public transit,Average commuting duration (in minutes),0
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Men+,Active transportation,Average commuting duration (in minutes),9
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Men+,Other method,Average commuting duration (in minutes),28
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Women+,Total - Main mode of commuting,Average commuting duration (in minutes),21.8
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Women+,"Car, truck or van",Average commuting duration (in minutes),23
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Women+,Driver (only worker in vehicle),Average commuting duration (in minutes),23.1
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Women+,Passenger (only worker in vehicle),Average commuting duration (in minutes),14.8
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Women+,Sustainable transportation,Average commuting duration (in minutes),7.8
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Women+,Public transit,Average commuting duration (in minutes),0
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Women+,Active transportation,Average commuting duration (in minutes),5.7
2021,Cavan Monaghan,Total - Time leaving for work,Total (all ages),Women+,Other method,Average commuting duration (in minutes),4.7
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Total (all genders),Total - Main mode of commuting,Average commuting duration (in minutes),19.6
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Total (all genders),"Car, truck or van",Average commuting duration (in minutes),20.5
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Total (all genders),Driver (only worker in vehicle),Average commuting duration (in minutes),22.4
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Total (all genders),Passenger (only worker in vehicle),Average commuting duration (in minutes),11.4
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Total (all genders),Sustainable transportation,Average commuting duration (in minutes),10.4
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Total (all genders),Public transit,Average commuting duration (in minutes),0
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Total (all genders),Active transportation,Average commuting duration (in minutes),10.4
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Total (all genders),Other method,Average commuting duration (in minutes),0
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Men+,Total - Main mode of commuting,Average commuting duration (in minutes),23.3
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Men+,"Car, truck or van",Average commuting duration (in minutes),24.5
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Men+,Driver (only worker in vehicle),Average commuting duration (in minutes),28.2
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Men+,Passenger (only worker in vehicle),Average commuting duration (in minutes),10.8
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Men+,Sustainable transportation,Average commuting duration (in minutes),0
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Men+,Public transit,Average commuting duration (in minutes),0
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Men+,Active transportation,Average commuting duration (in minutes),0
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Men+,Other method,Average commuting duration (in minutes),0
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Women+,Total - Main mode of commuting,Average commuting duration (in minutes),15.3
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Women+,"Car, truck or van",Average commuting duration (in minutes),15.8
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Women+,Driver (only worker in vehicle),Average commuting duration (in minutes),16.6
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Women+,Passenger (only worker in vehicle),Average commuting duration (in minutes),12
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Women+,Sustainable transportation,Average commuting duration (in minutes),9.5
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Women+,Public transit,Average commuting duration (in minutes),0
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Women+,Active transportation,Average commuting duration (in minutes),9.5
2021,Cavan Monaghan,Total - Time leaving for work,15 to 24 years,Women+,Other method,Average commuting duration (in minutes),0
2021,Cavan Monaghan,Total - Time leaving for work,25 to 64 years,Total (all genders),Total - Main mode of commuting,Average commuting duration (in minutes),30.5
2021,Cavan Monaghan,Total - Time leaving for work,25 to 64 years,Total (all genders),"Car, truck or van",Average commuting duration (in minutes),31.3
2021,Cavan Monaghan,Total - Time leaving for work,25 to 64 years,Total (all genders),Driver (only worker in vehicle),Average commuting duration (in minutes),31.3
2021,Cavan Monaghan,Total - Time leaving for work,25 to 64 years,Total (all genders),Passenger (only worker in vehicle),Average commuting duration (in minutes),18
2021,Cavan Monaghan,Total - Time leaving for work,25 to 64 years,Total (all genders),Sustainable transportation,Average commuting duration (in minutes),7.8
2021,Cavan Monaghan,Total - Time leaving for work,25 to 64 years,Total (all genders),Public transit,Average commuting duration (in minutes),0
2021,Cavan Monaghan,Total - Time leaving for work,25 to 64 years,Total (all genders),Active transportation,Average commuting duration (in minutes),5.7
2021,Cavan Monaghan,Total - Time leaving for work,25 to 64 years,Total (all genders),Other method,Average commuting duration (in minutes),18
2021,Cavan Monaghan,Total - Time leaving for work,25 to 64 years,Men+,Total - Main mode of commuting,Average commuting duration (in minutes),36.3
2021,Cavan Monaghan,Total - Time leaving for work,25 to 64 years,Men+,"Car, truck or van",Average commuting duration (in minutes),36.7
2021,Cavan Monaghan,Total - Time leaving for work,25 to 64 years,Men+,Driver (only worker in vehicle),Average commuting duration (in minutes),36.7
2021,Cavan Monaghan,Total - Time leaving for work,25 to 64 years,Men+,Passenger (only worker in vehicle),Average commuting duration (in minutes),19
