Year,Gender (3a),Economic family characteristics of persons (13),Unnamed: 3,Age (8),Individual MBM poverty status (7),Value
2020,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Poverty rate (%),2.1
2020,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Average poverty gap ratio (%),32.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Total - Individual MBM poverty status,6610.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - applicable,6610.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,In poverty,535.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Not in poverty,6075.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Poverty rate (%),8.1
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Average poverty gap ratio (%),33.4
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Total - Individual MBM poverty status,1110.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - applicable,1110.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,In poverty,125.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Not in poverty,990.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty rate (%),11.3
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Average poverty gap ratio (%),27.2
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Total - Individual MBM poverty status,405.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - applicable,405.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Not in poverty,395.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty rate (%),0.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Average poverty gap ratio (%),0.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Total - Individual MBM poverty status,705.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - applicable,705.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,In poverty,110.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Not in poverty,595.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty rate (%),15.6
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Average poverty gap ratio (%),25.6
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Total - Individual MBM poverty status,495.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - applicable,495.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Not in poverty,480.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty rate (%),0.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Average poverty gap ratio (%),0.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Total - Individual MBM poverty status,2310.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - applicable,2310.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,In poverty,215.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Not in poverty,2095.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty rate (%),9.3
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Average poverty gap ratio (%),36.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Total - Individual MBM poverty status,1300.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - applicable,1300.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,In poverty,140.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Not in poverty,1160.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty rate (%),10.8
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Average poverty gap ratio (%),40.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Total - Individual MBM poverty status,1400.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - applicable,1400.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,In poverty,50.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Not in poverty,1345.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Poverty rate (%),3.6
2015,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Average poverty gap ratio (%),24.0
2020,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Total - Individual MBM poverty status,3540.0
2020,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - applicable,3540.0
2020,Men+,Total - Persons by selected economic family characteristics,,Total - Age,In poverty,185.0
2020,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Not in poverty,3355.0
2020,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty rate (%),5.2
2020,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Average poverty gap ratio (%),29.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Total - Individual MBM poverty status,640.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - applicable,640.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,In poverty,45.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Not in poverty,600.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty rate (%),7.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Average poverty gap ratio (%),21.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Total - Individual MBM poverty status,225.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - applicable,225.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Not in poverty,215.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty rate (%),0.0
2020,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Average poverty gap ratio (%),0.0
2020,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Total - Individual MBM poverty status,420.0
2020,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - applicable,420.0
2020,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,In poverty,30.0
2020,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Not in poverty,390.0
2020,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty rate (%),7.1
2020,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Average poverty gap ratio (%),0.0
2020,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Total - Individual MBM poverty status,250.0
2020,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - applicable,250.0
2020,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Not in poverty,230.0
2020,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty rate (%),0.0
2020,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Average poverty gap ratio (%),0.0
2020,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Total - Individual MBM poverty status,1155.0
2020,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - applicable,1155.0
2020,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,In poverty,75.0
2020,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Not in poverty,1080.0
2020,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty rate (%),6.5
2020,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Average poverty gap ratio (%),38.0
2020,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Total - Individual MBM poverty status,655.0
2020,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - applicable,655.0
2020,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,In poverty,35.0
2020,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Not in poverty,620.0
2020,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty rate (%),5.3
2020,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Average poverty gap ratio (%),0.0
2020,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Total - Individual MBM poverty status,840.0
2020,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - applicable,840.0
2020,Men+,Total - Persons by selected economic family characteristics,,65 years and over,In poverty,20.0
2020,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Not in poverty,815.0
2020,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty rate (%),2.4
2020,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Average poverty gap ratio (%),28.0
2015,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Total - Individual MBM poverty status,3350.0
2015,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - applicable,3350.0
2015,Men+,Total - Persons by selected economic family characteristics,,Total - Age,In poverty,290.0
2015,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Not in poverty,3065.0
2015,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty rate (%),8.7
2015,Men+,Total - Persons by selected economic family characteristics,,Total - Age,Average poverty gap ratio (%),36.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Total - Individual MBM poverty status,590.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - applicable,590.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,In poverty,65.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Not in poverty,525.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty rate (%),11.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 17 years,Average poverty gap ratio (%),33.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Total - Individual MBM poverty status,205.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - applicable,205.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Not in poverty,200.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty rate (%),0.0
2015,Men+,Total - Persons by selected economic family characteristics,,0 to 5 years,Average poverty gap ratio (%),0.0
2015,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Total - Individual MBM poverty status,385.0
2015,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - applicable,385.0
2015,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,In poverty,60.0
2015,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Not in poverty,325.0
2015,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty rate (%),15.6
2015,Men+,Total - Persons by selected economic family characteristics,,6 to 17 years,Average poverty gap ratio (%),32.0
2015,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Total - Individual MBM poverty status,225.0
2015,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - applicable,225.0
2015,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Not in poverty,225.0
2015,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty rate (%),0.0
2015,Men+,Total - Persons by selected economic family characteristics,,18 to 24 years,Average poverty gap ratio (%),0.0
2015,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Total - Individual MBM poverty status,1160.0
2015,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - applicable,1160.0
2015,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,In poverty,120.0
2015,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Not in poverty,1040.0
2015,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty rate (%),10.3
2015,Men+,Total - Persons by selected economic family characteristics,,25 to 54 years,Average poverty gap ratio (%),39.0
2015,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Total - Individual MBM poverty status,670.0
2015,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - applicable,670.0
2015,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,In poverty,75.0
2015,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Not in poverty,595.0
2015,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty rate (%),11.2
2015,Men+,Total - Persons by selected economic family characteristics,,55 to 64 years,Average poverty gap ratio (%),38.0
2015,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Total - Individual MBM poverty status,700.0
2015,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - applicable,700.0
2015,Men+,Total - Persons by selected economic family characteristics,,65 years and over,In poverty,20.0
2015,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Not in poverty,680.0
2015,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty rate (%),2.9
2015,Men+,Total - Persons by selected economic family characteristics,,65 years and over,Average poverty gap ratio (%),0.0
2020,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Total - Individual MBM poverty status,3435.0
2020,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - applicable,3435.0
2020,Women+,Total - Persons by selected economic family characteristics,,Total - Age,In poverty,170.0
2020,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Not in poverty,3265.0
2020,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty rate (%),4.9
2020,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Average poverty gap ratio (%),35.2
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Total - Individual MBM poverty status,640.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - applicable,640.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,In poverty,55.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Not in poverty,590.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty rate (%),8.6
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Average poverty gap ratio (%),33.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Total - Individual MBM poverty status,235.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - applicable,235.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Not in poverty,235.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty rate (%),0.0
2020,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Average poverty gap ratio (%),0.0
2020,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Total - Individual MBM poverty status,405.0
2020,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - applicable,405.0
2020,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,In poverty,55.0
2020,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Not in poverty,355.0
2020,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty rate (%),13.6
2020,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Average poverty gap ratio (%),33.0
2020,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Total - Individual MBM poverty status,170.0
2020,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - applicable,170.0
2020,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Not in poverty,160.0
2020,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty rate (%),0.0
2020,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Average poverty gap ratio (%),0.0
2020,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Total - Individual MBM poverty status,1130.0
2020,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - applicable,1130.0
2020,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,In poverty,65.0
2020,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Not in poverty,1070.0
2020,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty rate (%),5.8
2020,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Average poverty gap ratio (%),33.0
2020,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Total - Individual MBM poverty status,670.0
2020,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - applicable,670.0
2020,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,In poverty,25.0
2020,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Not in poverty,640.0
2020,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty rate (%),3.7
2020,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Average poverty gap ratio (%),40.0
2020,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Total - Individual MBM poverty status,820.0
2020,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - applicable,820.0
2020,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Not in poverty,805.0
2020,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty rate (%),0.0
2020,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Average poverty gap ratio (%),0.0
2015,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Total - Individual MBM poverty status,3260.0
2015,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - applicable,3260.0
2015,Women+,Total - Persons by selected economic family characteristics,,Total - Age,In poverty,250.0
2015,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Not in poverty,3010.0
2015,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Poverty rate (%),7.7
2015,Women+,Total - Persons by selected economic family characteristics,,Total - Age,Average poverty gap ratio (%),30.2
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Total - Individual MBM poverty status,520.0
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - applicable,520.0
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,In poverty,55.0
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Not in poverty,470.0
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty rate (%),10.6
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 17 years,Average poverty gap ratio (%),0.0
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Total - Individual MBM poverty status,200.0
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - applicable,200.0
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Not in poverty,200.0
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty rate (%),0.0
2015,Women+,Total - Persons by selected economic family characteristics,,0 to 5 years,Average poverty gap ratio (%),0.0
2015,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Total - Individual MBM poverty status,320.0
2015,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - applicable,320.0
2015,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,In poverty,50.0
2015,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Not in poverty,270.0
2015,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty rate (%),15.6
2015,Women+,Total - Persons by selected economic family characteristics,,6 to 17 years,Average poverty gap ratio (%),0.0
2015,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Total - Individual MBM poverty status,260.0
2015,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - applicable,260.0
2015,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Not in poverty,255.0
2015,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty rate (%),0.0
2015,Women+,Total - Persons by selected economic family characteristics,,18 to 24 years,Average poverty gap ratio (%),0.0
2015,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Total - Individual MBM poverty status,1145.0
2015,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - applicable,1145.0
2015,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,In poverty,95.0
2015,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Not in poverty,1050.0
2015,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty rate (%),8.3
2015,Women+,Total - Persons by selected economic family characteristics,,25 to 54 years,Average poverty gap ratio (%),32.0
2015,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Total - Individual MBM poverty status,630.0
2015,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - applicable,630.0
2015,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,In poverty,65.0
2015,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Not in poverty,565.0
2015,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty rate (%),10.3
2015,Women+,Total - Persons by selected economic family characteristics,,55 to 64 years,Average poverty gap ratio (%),42.0
2015,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Total - Individual MBM poverty status,700.0
2015,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - applicable,700.0
2015,Women+,Total - Persons by selected economic family characteristics,,65 years and over,In poverty,30.0
2015,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Not in poverty,670.0
2015,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Poverty rate (%),4.3
2015,Women+,Total - Persons by selected economic family characteristics,,65 years and over,Average poverty gap ratio (%),24.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Total - Individual MBM poverty status,340.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - not applicable,340.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Poverty rate (%),0.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Average poverty gap ratio (%),40.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Total - Individual MBM poverty status,45.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - not applicable,45.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty rate (%),0.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Average poverty gap ratio (%),0.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Total - Individual MBM poverty status,10.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - not applicable,10.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty rate (%),0.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Average poverty gap ratio (%),0.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Total - Individual MBM poverty status,35.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - not applicable,35.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty rate (%),0.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Average poverty gap ratio (%),0.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Total - Individual MBM poverty status,20.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - not applicable,20.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty rate (%),0.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Average poverty gap ratio (%),0.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Total - Individual MBM poverty status,115.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - not applicable,115.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty rate (%),0.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Average poverty gap ratio (%),40.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Total - Individual MBM poverty status,70.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - not applicable,70.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty rate (%),0.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Average poverty gap ratio (%),60.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Total - Individual MBM poverty status,95.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Poverty status - not applicable,95.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Poverty rate (%),0.0
2020,Total - Gender,Total - Persons by selected economic family characteristics,,65 years and over,Average poverty gap ratio (%),0.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Total - Individual MBM poverty status,365.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Poverty status - not applicable,365.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Poverty rate (%),0.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,Total - Age,Average poverty gap ratio (%),38.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Total - Individual MBM poverty status,65.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty status - not applicable,65.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Poverty rate (%),0.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 17 years,Average poverty gap ratio (%),36.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Total - Individual MBM poverty status,20.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty status - not applicable,20.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Poverty rate (%),0.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,0 to 5 years,Average poverty gap ratio (%),0.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Total - Individual MBM poverty status,45.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty status - not applicable,45.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Poverty rate (%),0.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,6 to 17 years,Average poverty gap ratio (%),30.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Total - Individual MBM poverty status,30.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty status - not applicable,30.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Poverty rate (%),0.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,18 to 24 years,Average poverty gap ratio (%),36.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Total - Individual MBM poverty status,135.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty status - not applicable,135.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Poverty rate (%),0.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,25 to 54 years,Average poverty gap ratio (%),38.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Total - Individual MBM poverty status,60.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty status - not applicable,60.0
2015,Total - Gender,Total - Persons by selected economic family characteristics,,55 to 64 years,Poverty rate (%),0.0
